Động từ (Action),"Đối tượng (Examples of User input, including weight & abstract entity)",Công thức gốc (Original recipes),Ngày xuất bản,Số báo,Báo,Nguyên văn 
"lấy nhiếp bắt cho hết chưn lông, cạo rữa cho kỷ , chừng nào thiệt trắng nỏn, thiệt sạch rồi thì bỏ vô nồi, đỗ nước lạnh cho ngập hết mà hầm",,Cẳng giò hầm,"May 30, 1929",5,Phụ Nữ Tân Văn,"Mua giò heo đen đem về lấy nhiếp bắt cho hết chưn lông, cạo rữa cho kỷ, chừng nào cẳng giò thiệt trắng nỏn, thiệt sạch rồi thì bỏ vô nồi, đỗ nước lạnh cho ngập hết cẳng giò mà hầm. Khoai tàu thì gọt vỏ, cắt lớn bằng hai ngón tay một. Chừng nào cẳng giò nhừ sẻ cho khoai tàu vô và nêm mấm muối cho vừa, để chừng một lát khoai nhừ là được"
"rữa vắt cho ráo, bầm cho nhuyển",,Chả dòn,"Jun 13, 1929",7,Phụ Nữ Tân Văn,"Tôm càng, tôm vang, tôm lóng, hay tép tươi cũng dặng, song tôm càng và tôm vang thì ngon hơn. Tôm lột vỏ rữa vắt cho ráo, bầm cho nhuyển, một củ hành tây xắt mỏng rồi xắt nhỏ lại, nắm mèo, búng tàu, hai thứ liệu mà làm chừng mười con tôm càng, thì mỗi món ba su, ngâm cho mềm, rữa sạch, để ráo, xắt nắm mèo nhỏ như con búng, búng tàu cắt vắn độ hai lóng tay, đập một cái hột vịt lấy tròng. Các món để chung trong tượng mà trộn cho đều, bánh tráng mỏng, lựa bánh có phơi sương, rọc làm hai hay làm tư tùy cuốn lớn nhỏ, cuốn xong, bắt chảo đổ mở cho nhiều, nấu mở sôi, thả chả vô chiên, trở cho vàng đều, chả dòn vớt ra, để cho ráo mở sẻ dọn. Các vật ăn với chả dòn: rau sống, salade, hẹ sống, rau chiếc, muốn ăn nước mắm tỏi ớt hay ăn tương tùy ý. Tương làm theo kiểu tương ăn vịt tiềm."
"rữa sạch rồi lóc ra làm hai, lấy mũi giao nhỏ mà nạo lấy hết thịt nạc, còn xương với gia bỏ đi, bỏ vô cối mà đâm cho nhuyễn",,Chả cá,"Jun 13, 1929",7,Phụ Nữ Tân Văn,"Cá rữa sạch rồi lóc ra làm hai. Lấy mũi giao nhỏ mà nạo lấy hết thịt nạc, còn xương với gia bỏ đi. Thịt đó bỏ vô cối mà đâm cho nhuyễn rồi, nêm vô chút nước mắm và cho vô chút tiêu cho thơm. Lấy 1 miếng lá chuối cắt lớn bằng trong lòng cái dĩa bàn, thoa vô mặt lá chút mở, dàn cả lên trên miếng lá đó rồi cho vô quả mà hấp. Hấp qua một chút coi gần chín thì lấy ra đem chiên. Khi chiên thì phải đỗ mở cho thiệt nóng sẽ cho chả vô; phải để lữa riêu riêu thì chả mới vàng, nếu để lớn lữa sẻ bị cháy."
"bỏ vỏ nồi, luộc cho chín và để cho nguội, sẻ gỡ lấy thịt",,Cua biển hấp với hột vịt,"May 30, 1929",5,Phụ Nữ Tân Văn,"Cua biển lựa con nào cho thiệt chắc sẻ mua (1), đem về lột mai yếm rữa cho sạch, bỏ vỏ nồi, luộc cho chín và để cho nguội, sẻ gỡ lấy thịt. Lấy thịt heo nạc chừng 100 gr, nấm thông chừng 6, 7 cái, hành tây một củ, đều bầm ra cho nhỏ, đổ lộn với thịt cua, đập vô chừng 2 cái hột vịt (phải nhớ lấy tròng đỏ để riêng ra mà đổ lên trên mặt về sau chót), cho vô chút tiêu và chúc nước mắm và trộn lộn tất cã với nhau cho đều rồi đỗ vô dỉa. Còn cái tròng đỏ đã để riêng ra đem đỗ lên trên mặt, trước khi đỗ vô dĩa nhớ thoa vô mặt dĩa một chút mở nước để khi đem ra khỏi dính dĩa. Như vậy rồi cho vô nồi mà chưng cách thủy. Nếu có quả hấp thì cho vô quả mà hấp càng tốt låm .!."
"rút thịt ra, đừng cho nát lắm, rót nước nóng vào, lấy đũa trộn thịt cua rồi chắt cho ráo nước",,Chả cua,"Jun 20, 1929",8,Phụ Nữ Tân Văn,"Hai con cua lớn cho chắc thịt, luộc chính bỏ gạch đập giập, rút thịt ra, đừng cho nát lắm, rót nước nóng vào, lấy đũa trộn thịt cua rồi chắt cho ráo nước. Mằn bóp thịt cua, lấy cho hết xương cua ra, lột cái lốp bao mỏng ngoài thịt cua ra, rồi vắt cho thiệt ráo nước. Đường phèn hai cục bằng đầu tay cái đàn-ông, đâm ra cho nhỏ, mở gáy heo 50 gr, luộc chính xắt nhỏ như con búng, một củ hành tây lớn xắt mỏng, rồi xắt nhỏ lại, nắm mèo búng tàu, hai món bốn su, ngâm mềm rữa sạch, nắm mèo xắt nhỏ như búng, búng tàu cắt khúc vắn độ hai lóng tay. Các món xong rồi, đập hột vịt chứa tròng đỏ lại, dùng tròng trắng mà khuấy với cua và các món cho sết-sết, thêm một muổng ăn canh bột củ năn vào nêm một chút tiêu cà với hai muổng mở nước, nước mấm độ hai muổng ăn canh, phải nếm coi vừa không sẻ đổ vô khuôn hay hộp bánh tây mà hấp."
hầm cho rục,,Giò hầm hột sen ,"Jun 13, 1929",7,Phụ Nữ Tân Văn,"Hột sen cũ năn, đậu phộng tàu cách hầm cho rục như cách hầm giò với măn, duy các thứ hột phải ngâm nước sôi, lột vỏ rữa sạch bỏ vô một lược mà hầm."
"khoét ruột rữa sạch, bắt lên chưng cách thủy cho đến khi chính nhừ",,Bí hàng nàm chưng cách thủy,"Jun 13, 1929",7,Phụ Nữ Tân Văn,"Bí non chưa tượng hột, cắt hai hay cắt cái đầu trái bí khoét ruột rữa sạch, nấm đơn cô hay nấm thông, ba bốn tay, 2 su cũ năn, hai su đậu phộng, hột sen vài chục hột, một con gà giò, gà ác, đổ chung lại mấy món kể trên bỏ vào ruột trái bí nêm một chút, múc liệu vừa ăn đễ trong cái thố, bắt lên chưng cách thủy cho đến khi con gà chính nhừ."
đem ngâm nước đề cho nỡ,,Cua biển xào với bún tàu,"May 30, 1929",5,Phụ Nữ Tân Văn,"Cua chừng 2 con, đem về lột mai yếm, rữa cho sạch bỏ luộc, rồi gở, lấy thịt. Bún tàu và nấm thơm chừng 1 cắc, đem ngâm nước đề cho nỡ. Bún tàu dài quả thì phải cắt ngắn đi để khi ăn cho dể gấp. Thịt heo nạc chừng 100 gr, hành tây 1 cũ, và nấm thơm đều cắt dài ra theo như sợi bún tàu. Đỗ mở vô quánh để cho nóng sẻ bỏ bành tây vô mà xào cho vàng, chừng hành vàng rồi bỏ thịt heo và thịt cua vô, rồi tới bún tàu và nấm thơm, nêm mấm muối cho vừa rồi xào lên cho đều để muối thấm vô mấy thứ đó, rồi cho vô một chén nước luộc cua mà đễ lữa riêu riêu, cho tới hồi chín bún tàu và cạn hết nước thì được. Khi ăn thì bày lên trên mặt đĩa mấy ngọn ngò và rắc vô chút tiêu cho thơm."
"kho cho thắm, châm vô 2 vá nước sôi rồi để lữa riu riu cho rặt lại thì vừa ăn.",,Cá kho thơm măng,"May 9, 1929",2,Phụ Nữ Tân Văn,"Cá lóc bay cá bóng làm sạch rồi khứa dày mỏng tùy ý. Thơm gọt cho hết mắt, xắc nhỏ bằng tay cái hay vuôn con cờ cũng được. Măng (1) luột rồi hay còn sống cũng xắt một khổ như thơm. Sắp thơm và măng dưới nồi, trên sấp cá, (nếu thêm thịt heo thì càng ngon).
Để vô vài trái ớt sừng hoặc ớt bị, chế nước mấm vô cho khỏa mặt cá, đổ vô 2 muỗn nước màu, 3 tép hành lá xắt nhỏ.
Chụm lửa kho cho thắm, châm vô 2 vá nước sôi rồi để lữa riu riu cho rặt lại thì vừa ăn."
"té đầu lột vỏ, chừa trọn cái chót đuôi lại, nặn gạch cho sạch, xẻ một đường dài từ trên đầu, tới dưới đuôi",,Tôm kho,"May 23, 1929",4,Phụ Nữ Tân Văn,"Tôm càng cho tươi, té đầu lột vỏ, chừa trọn cái chót đuôi lại, nặn gạch cho sạch, xẻ một đường dài từ trên đầu, tới dưới đuôi; cuốn cái mình con tôm lấy chót đuôi nhọn ghim chính giữa đầu. Lấy múi bọt ướp cho đều liệu cho vừa ăn, ướp rồi đễ một lúc cho thấm múi, đoạn sấp vô son hay tay cầm chế thêm một chúc nước mấm, nhắm chừng khi chín rồi thì còn chút đĩnh nước trong son cho dễ hâm và đỗ mở nước vô. Lữa chụm riu riu, bắc son lên nấu, phải trở cho đều cho tôm chín. Gạch tôm đánh cho nhuyễn, gắp từ con nhún vô gạch tôm lăn cho đều, hơ lữa than cho bóng và cho đỏ, rồi sắp lại trong son hay đơm ra dĩa cũng được"
